,Date,Infected,Recovered,Deaths,Removed,Infected_Av,Recovered_Av,Deaths_Av,Removed_Av,Beta,Gamma,Rt
50,3/12/2020,1561,12,43,55,1127,9.333333333,34.66666667,44,0.300707593,0.033333333,9.021227785
51,3/13/2020,2157,12,52,64,1609,10.66666667,42.66666667,53.33333333,0.303783739,0.033333333,9.113512185
52,3/14/2020,2870,12,58,70,2196,12,51,63,0.303181154,0.033333333,9.095434623
53,3/15/2020,2968,12,70,82,2665,12,60,72,0.306475538,0.033333333,9.194266134
54,3/16/2020,4360,17,97,114,3399.333333,13.66666667,75,88.66666667,0.30414764,0.033333333,9.124429191
55,3/17/2020,6141,17,132,149,4489.666667,15.33333333,99.66666667,115,0.294905406,0.033333333,8.847162193
56,3/18/2020,8917,105,191,296,6472.666667,46.33333333,140,186.3333333,0.274711119,0.033333333,8.241333572
57,3/19/2020,14157,121,269,390,9738.333333,81,197.3333333,278.3333333,0.253101654,0.033333333,7.593049632
58,3/20/2020,19479,147,368,515,14184.33333,124.3333333,276,400.3333333,0.234594,0.033333333,7.037820004
59,3/21/2020,25825,176,463,639,19820.33333,148,366.6666667,514.6666667,0.219031694,0.033333333,6.570950823
60,3/22/2020,33761,178,611,789,26355,167,480.6666667,647.6666667,0.203208553,0.033333333,6.096256604
61,3/23/2020,43850,178,798,976,34478.66667,177.3333333,624,801.3333333,0.187521551,0.033333333,5.625646537
62,3/24/2020,54112,348,1040,1388,43907.66667,234.6666667,816.3333333,1051,0.174738235,0.033333333,5.242147063
63,3/25/2020,66055,361,1356,1717,54672.33333,295.6666667,1064.666667,1360.333333,0.164050661,0.033333333,4.921519823
64,3/26/2020,84091,681,1778,2459,68086,463.3333333,1391.333333,1854.666667,0.153955993,0.033333333,4.618679789
65,3/27/2020,102276,869,2341,3210,84140.66667,637,1825,2462,0.143874195,0.033333333,4.316225851
66,3/28/2020,122069,1072,2995,4067,102812,874,2371.333333,3245.333333,0.134713436,0.033333333,4.041403074
67,3/29/2020,141205,2665,3629,6294,121850,1535.333333,2988.333333,4523.666667,0.126011023,0.033333333,3.780330687
68,3/30/2020,162707,5644,4463,10107,141993.6667,3127,3695.666667,6822.666667,0.117430996,0.033333333,3.522929876
69,3/31/2020,188724,7024,5718,12742,164212,5111,4603.333333,9714.333333,0.108610872,0.033333333,3.258326157
70,4/1/2020,214205,8474,6986,15460,188545.3333,7047.333333,5722.333333,12769.66667,0.100805185,0.033333333,3.024155537
71,4/2/2020,244610,9001,8599,17600,215846.3333,8166.333333,7101,15267.33333,0.093637621,0.033333333,2.809128637
72,4/3/2020,276547,9707,9936,19643,245120.6667,9060.666667,8507,17567.66667,0.087115147,0.033333333,2.61345442
73,4/4/2020,309699,14652,11263,25915,276952,11120,9932.666667,21052.66667,0.080414964,0.033333333,2.412448918
74,4/5/2020,337573,17448,12765,30213,307939.6667,13935.66667,11321.33333,25257,0.074289935,0.033333333,2.228698039
75,4/6/2020,367215,19581,14504,34085,338162.3333,17227,12844,30071,0.068424309,0.033333333,2.052729282
76,4/7/2020,397992,21763,16883,38646,367593.3333,19597.33333,14717.33333,34314.66667,0.063322706,0.033333333,1.899681167
77,4/8/2020,429686,23559,19065,42624,398297.6667,21634.33333,16817.33333,38451.66667,0.058608648,0.033333333,1.758259437
78,4/9/2020,464442,25410,21216,46626,430706.6667,23577.33333,19054.66667,42632,0.054571369,0.033333333,1.637141079
79,4/10/2020,497943,28790,23362,52152,464023.6667,25919.66667,21214.33333,47134,0.051233829,0.033333333,1.537014879
80,4/11/2020,527969,31270,25486,56756,496784.6667,28490,23354.66667,51844.66667,0.048302091,0.033333333,1.44906273
81,4/12/2020,556522,32988,27336,60324,527478,31016,25394.66667,56410.66667,0.045714289,0.033333333,1.371428672
82,4/13/2020,581813,43482,29242,72724,555434.6667,35913.33333,27354.66667,63268,0.043562212,0.033333333,1.306866359
83,4/14/2020,608878,47763,31699,79462,582404.3333,41411,29425.66667,70836.66667,0.041615868,0.033333333,1.248476055
84,4/15/2020,637974,52096,34308,86404,609555,47780.33333,31749.66667,79530,0.039934727,0.033333333,1.198041816
85,4/16/2020,669272,54703,36483,91186,638708,51520.66667,34163.33333,85684,0.038435743,0.033333333,1.153072279
86,4/17/2020,701996,58545,39149,97694,669747.3333,55114.66667,36646.66667,91761.33333,0.037340202,0.033333333,1.12020606
87,4/18/2020,730337,64840,41594,106434,700535,59362.66667,39075.33333,98438,0.036628307,0.033333333,1.098849197
88,4/19/2020,756375,70337,42870,113207,729569.3333,64574,41204.33333,105778.3333,0.035877604,0.033333333,1.076328134
89,4/20/2020,783716,72329,44704,117033,756809.3333,69168.66667,43056,112224.6667,0.034714916,0.033333333,1.041447477
90,4/21/2020,809318,75204,47208,122412,783136.3333,72623.33333,44927.33333,117550.6667,0.03334577,0.033333333,1.000373109
91,4/22/2020,837422,77366,49639,127005,810152,74966.33333,47183.66667,122150,0.031964188,0.033333333,0.958925632
92,4/23/2020,871617,80203,52108,132311,839452.3333,77591,49651.66667,127242.6667,0.03068296,0.033333333,0.920488795
93,4/24/2020,907908,99079,54262,153341,872315.6667,85549.33333,52003,137552.3333,0.029412943,0.033333333,0.882388282
94,4/25/2020,940829,100372,55959,156331,906784.6667,93218,54109.66667,147327.6667,0.028063736,0.033333333,0.841912069
95,4/26/2020,968518,106988,57289,164277,939085,102146.3333,55836.66667,157983,0.026917098,0.033333333,0.807512938
96,4/27/2020,990983,111424,58756,170180,966776.6667,106261.3333,57334.66667,163596,0.025965002,0.033333333,0.778950061
97,4/28/2020,1015518,115936,60997,176933,991673,111449.3333,59014,170463.3333,0.025232303,0.033333333,0.756969102
98,4/29/2020,1043038,120720,63518,184238,1016513,116026.6667,61090.33333,177117,0.024533314,0.033333333,0.735999433
99,4/30/2020,1072667,153947,65842,219789,1043741,130201,63452.33333,193653.3333,0.023779728,0.033333333,0.713391832
100,5/1/2020,1106829,164015,67733,231748,1074178,146227.3333,65697.66667,211925,0.022776653,0.033333333,0.683299577
